1.IMU_yaw(deg),2.IMU_diff (deg),3.Max Degree(deg),4.Mag dx(px)
-135.7593,0.0593,71.0,14.0
-136.0192,0.2599,110.0,8.0
-136.8791,0.8599,90.0,18.0
-136.5064,0.3726,101.0,11.0
-138.1802,1.6738,94.0,26.0
-140.002,1.8218,111.0,30.0
-142.667,2.665,88.0,12.0
-144.3551,1.6881,74.0,11.0
-147.4059,3.0508,65.0,13.0
-139.2467,8.1593,110.0,30.0
-139.4869,0.2403,2.0,0.0
-139.7421,0.2552,96.0,7.0
-140.002,0.2599,98.0,3.0
-140.2762,0.2741,104.0,6.0
-140.5506,0.2745,99.0,8.0
-140.8316,0.281,99.0,4.0
-141.1235,0.2919,93.0,8.0
-141.4136,0.2901,90.0,4.0
-141.7061,0.2925,89.0,8.0
-142.0234,0.3172,85.0,8.0
-142.3476,0.3243,88.0,4.0
-142.667,0.3194,88.0,9.0
-142.9905,0.3235,90.0,4.0
-143.6722,0.6816,91.0,9.0
-144.0151,0.343,97.0,9.0
-144.3551,0.34,98.0,5.0
-144.7078,0.3527,99.0,9.0
-145.0605,0.3527,103.0,5.0
-145.4138,0.3533,105.0,9.0
-145.7869,0.3731,96.0,9.0
-146.1788,0.3919,86.0,5.0
-146.5933,0.4145,85.0,10.0
-147.0018,0.4085,86.0,11.0
-147.4059,0.4042,82.0,6.0
-147.8643,0.4584,79.0,12.0
-148.3803,0.516,83.0,6.0
-149.3999,1.0196,87.0,13.0
-149.9486,0.5488,92.0,7.0
-150.517,0.5684,90.0,14.0
-151.0793,0.5622,90.0,15.0
-151.646,0.5667,87.0,8.0
-152.2282,0.5823,90.0,16.0
-152.8506,0.6224,93.0,15.0
-153.5056,0.655,89.0,8.0
-154.1283,0.6226,88.0,18.0
-154.7506,0.6223,91.0,9.0
-155.4062,0.6556,92.0,18.0
-156.1057,0.6995,93.0,18.0
-156.8337,0.728,88.0,10.0
-157.5425,0.7089,85.0,21.0
-158.2545,0.7119,83.0,10.0
-158.9783,0.7238,84.0,21.0
-160.4288,1.4505,80.0,21.0
-161.185,0.7563,81.0,10.0
-161.9802,0.7952,85.0,21.0
-162.7933,0.8131,89.0,11.0
-163.6085,0.8152,91.0,22.0
-164.4174,0.8089,90.0,23.0
-165.2274,0.81,89.0,11.0
-166.0446,0.8172,88.0,23.0
-166.8573,0.8127,89.0,11.0
-167.6735,0.8162,89.0,23.0
-168.5006,0.8271,93.0,22.0
-169.3334,0.8328,94.0,11.0
-170.1868,0.8534,91.0,23.0
-171.0373,0.8505,90.0,12.0
-171.8991,0.8618,93.0,24.0
-173.6688,1.7697,96.0,12.0
-174.5209,0.852,97.0,25.0
-175.3825,0.8617,95.0,25.0
-176.26,0.8775,94.0,12.0
-177.1506,0.8906,94.0,25.0
-178.0625,0.9119,95.0,26.0
-179.0046,0.942,97.0,13.0
-179.9656,0.961,96.0,27.0
179.0703,359.0359,96.0,14.0
178.0959,0.9745,94.0,27.0
177.1283,0.9676,91.0,28.0
176.1622,0.9661,90.0,14.0
175.1866,0.9756,91.0,28.0
174.1936,0.9931,91.0,15.0
172.1957,1.9978,92.0,28.0
171.2103,0.9854,92.0,28.0
170.222,0.9883,90.0,15.0
169.2256,0.9964,92.0,28.0
168.2129,1.0127,93.0,27.0
167.1926,1.0203,93.0,15.0
166.1706,1.022,92.0,28.0
165.1474,1.0232,91.0,28.0
164.1251,1.0223,91.0,14.0
